Unnamed: 0,Manufacturer,Model Name,Category,Screen Size,GPU,Operating System,Operating System Version,Weight,Price (Euros),Resolution,Screen_Type,RAM,SSD,HDD,HYBRID,SSD_CAPACITY,HDD_CAPACITY,HYBRID_CAPACITY,TOTAL_STORAGE,Unnamed: 0,Brand,Clockspeed,Model,Series,Width,Height,fullRes
623,Fujitsu,LifeBook A557,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.2kg,799,1366x768,No Touchscreen,8,True,False,False,256,0,0,256,623,Intel,2.5,,Core i5 7200U,1366,768,1049088
624,HP,EliteBook 850,Notebook,15.6,Intel HD Graphics 520,Windows,7,1.88kg,932,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,624,Intel,2.3,,Core i5 6200U,1366,768,1049088
625,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Nvidia GeForce 920MX,Windows,10,2.2kg,899,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,625,Intel,2.7,,Core i7 7500U,1920,1080,2073600
626,Mediacom,SmartBook 140,Notebook,14.0,Intel HD Graphics,Windows,10,1.4kg,239,1920x1080,No Touchscreen,2,True,False,False,32,0,0,32,626,Intel,1.44,,Atom x5-Z8350,1920,1080,2073600
627,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel HD Graphics 620,No OS,,2.2kg,468,1920x1080,No Touchscreen,4,True,False,False,128,0,0,128,627,Intel,2.5,,Core i5 7200U,1920,1080,2073600
628,Asus,Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),2 in 1 Convertible,13.3,Intel HD Graphics 620,Windows,10,1.5kg,639,1920x1080,Touchscreen,6,False,True,False,0,1000,0,1000,628,Intel,2.5,,Core i5 7200U,1920,1080,2073600
629,Dell,XPS 15,Notebook,15.6,Nvidia GeForce GTX 1050,Windows,10,2kg,1820,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,629,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
630,Asus,ZenBook 3,Ultrabook,14.0,Intel HD Graphics 620,Windows,10,1.1kg,1900,1920x1080,No Touchscreen,16,True,False,False,512,0,0,512,630,Intel,2.7,,Core i7 7500U,1920,1080,2073600
631,Dell,Inspiron 7567,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62kg,1479,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,631,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
632,Lenovo,V330-15IKB (i5-8250U/4GB/256GB/FHD/W10),Notebook,15.6,Intel UHD Graphics 620,Windows,10,1.8kg,829,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,632,Intel,1.6,,Core i5 8250U,1920,1080,2073600
633,Lenovo,Ideapad 320-15ISK,Notebook,15.6,Nvidia GeForce 920MX ,Windows,10,2.2kg,579,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,633,Intel,2.0,,Core i3 6006U,1920,1080,2073600
634,Asus,X541NA-GO414T (N3350/8GB/1TB/W10),Notebook,15.6,Intel HD Graphics 500,Windows,10,2kg,399,1366x768,No Touchscreen,8,False,True,False,0,1000,0,1000,634,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
635,Asus,VivoBook Pro,Notebook,15.6,Nvidia GeForce GTX 1050,Windows,10,1.99kg,906,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,635,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
636,Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,Windows,10,1.23kg,1869,3200x1800,Touchscreen,8,True,False,False,256,0,0,256,636,Intel,1.6,,Core i5 8250U,3200,1800,5760000
637,Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,Intel HD Graphics 400,Windows,10,1.42kg,249,1366x768,No Touchscreen,2,True,False,False,32,0,0,32,637,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
638,Lenovo,Thinkpad Yoga,2 in 1 Convertible,13.3,Intel HD Graphics 620,Windows,10,1.37kg,1757,1920x1080,Touchscreen,8,True,False,False,256,0,0,256,638,Intel,2.7,,Core i7 7500U,1920,1080,2073600
639,Dell,XPS 15,Notebook,15.6,Nvidia GeForce GTX 1050,Windows,10,2.06kg,2399,3840x2160,Touchscreen,16,True,False,False,1000,0,0,1000,639,Intel,2.8,,Core i7 7700HQ,3840,2160,8294400
640,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050M,Windows,10,2.5kg,1109,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,640,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
641,HP,17-AK091ND (A9-9420/8GB/1TB/W10),Notebook,17.0,AMD Radeon R5,Windows,10,2.6kg,520,1600x900,No Touchscreen,8,False,True,False,0,1000,0,1000,641,AMD,3.0,9420,A9-Series,1600,900,1440000
642,Lenovo,ThinkPad X1,Ultrabook,14.0,Intel HD Graphics 620,Windows,10,1.14kg,2450,1920x1080,No Touchscreen,16,True,False,False,512,0,0,512,642,Intel,2.7,,Core i7 7500U,1920,1080,2073600
643,Asus,ROG GL553VE-FY022,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,No OS,,2.5kg,1169,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,643,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
644,Acer,Extensa EX2540,Notebook,15.6,Intel HD Graphics 520,Windows,10,2.4kg,450,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,644,Intel,2.0,,Core i3 6006U,1366,768,1049088
645,Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,Intel HD Graphics,Windows,10,1.43kg,274,1366x768,No Touchscreen,4,True,False,False,32,0,0,32,645,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
646,Acer,Swift 3,Ultrabook,14.0,Intel Graphics 620,Windows,10,1.8kg,919,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,646,Intel,2.5,,Core i5 7200U,1920,1080,2073600
647,Razer,Blade Pro,Gaming,14.0,Nvidia GeForce GTX 1060,Windows,10,1.95kg,2599,1920x1080,No Touchscreen,16,True,False,False,256,0,0,256,647,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
648,Toshiba,Portege Z30-C-16J,Notebook,13.3,Intel HD Graphics 520,Windows,10,1.2kg,1213,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,648,Intel,2.3,,Core i5 6200U,1920,1080,2073600
649,Lenovo,Thinkpad X270,Ultrabook,12.5,Intel HD Graphics 620,Windows,10,1.36kg,1584,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,649,Intel,2.7,,Core i7 7500U,1920,1080,2073600
650,Asus,ROG G701VI,Gaming,17.3,Nvidia GeForce GTX 1080,Windows,10,3.8kg,2799,1920x1080,No Touchscreen,32,True,False,False,512,0,0,512,650,Intel,2.7,,Core i7 6820HK,1920,1080,2073600
651,Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Gaming,15.6,Nvidia GeForce GTX 1050,Linux,,2.4kg,709,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,651,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
652,Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,Windows,10,1.2kg,1449,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,652,Intel,1.6,,Core i5 8250U,1920,1080,2073600
653,MSI,GL62M 7REX,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2kg,1191,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,653,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
654,HP,250 G6,Notebook,15.6,Intel HD Graphics 520,No OS,,1.86kg,364,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,654,Intel,2.0,,Core i3 6006U,1366,768,1049088
655,Toshiba,Tecra A50-D-11M,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.0kg,1064,1920x1080,No Touchscreen,8,False,True,False,0,500,0,500,655,Intel,2.5,,Core i5 7200U,1920,1080,2073600
656,Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,Windows,10,2.2kg,919,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,656,Intel,1.8,,Core i7 8550U,1920,1080,2073600
657,Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,Windows,10,2.2kg,1135,1920x1080,No Touchscreen,16,True,True,False,256,2000,0,2256,657,Intel,1.8,,Core i7 8550U,1920,1080,2073600
658,Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,Nvidia GeForce GTX 960,Windows,10,3.31kg,1196,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,658,Intel,2.6,,Core i7 6700HQ,1920,1080,2073600
659,Dell,Alienware 17,Gaming,17.3,Nvidia GeForce GTX 1070,Windows,10,4.42kg,3147,3840x2160,No Touchscreen,32,True,True,False,512,1000,0,1512,659,Intel,2.8,,Core i7 7700HQ,3840,2160,8294400
660,Dell,Latitude E7470,Notebook,14.0,Intel HD Graphics 520,Windows,10,1.56kg,1229,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,660,Intel,2.4,,Core i5 6300U,1920,1080,2073600
661,Lenovo,Ideapad 320-15IAP,Notebook,15.6,Intel HD Graphics 500,Windows,10,2.2kg,419,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,661,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
662,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel HD Graphics 520,Windows,10,2.2kg,535,1920x1080,No Touchscreen,4,False,True,False,0,500,0,500,662,Intel,2.3,,Core i5 6200U,1920,1080,2073600
663,HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,15.6,AMD Radeon R5 M430,Windows,10,2.04kg,539,1920x1080,No Touchscreen,6,False,True,False,0,1000,0,1000,663,Intel,2.0,,Core i3 6006U,1920,1080,2073600
664,MSI,GP72VR Leopard,Gaming,17.3,Nvidia GeForce GTX 1060,Windows,10,2.7kg,1486,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,664,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
665,Toshiba,Satellite Pro,Notebook,15.6,Intel HD Graphics 520,Windows,10,2.1kg,498,1366x768,No Touchscreen,4,True,False,False,128,0,0,128,665,Intel,2.1,,Core i3 6100U,1366,768,1049088
666,Dell,Latitude 3580,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.06kg,955,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,666,Intel,2.5,,Core i5 7200U,1920,1080,2073600
667,HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,15.6,AMD Radeon 530,Windows,10,2.1kg,745,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,667,Intel,2.7,,Core i7 7500U,1920,1080,2073600
668,Toshiba,Tecra Z50-D-10E,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.0kg,1258,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,668,Intel,2.5,,Core i5 7200U,1920,1080,2073600
669,Acer,Aspire 3,Notebook,15.6,Intel HD Graphics 520,Linux,,2.1kg,412,1366x768,No Touchscreen,4,True,False,False,128,0,0,128,669,Intel,2.0,,Core i3 6006U,1366,768,1049088
670,Microsoft,Surface Laptop,Ultrabook,13.5,Intel Iris Plus Graphics 640,Windows,10 S,1.252kg,1867,2256x1504,Touchscreen,8,True,False,False,256,0,0,256,670,Intel,2.8,,Core i7 7600U,2256,1504,3393024
671,Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,15.6,AMD Radeon R5 M430,Windows,10,1.90kg,817,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,671,Intel,2.5,,Core i5 7200U,1920,1080,2073600
672,Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,Intel HD Graphics 620,Windows,10,1.3kg,1034,1920x1080,Touchscreen,8,True,False,False,256,0,0,256,672,Intel,2.5,,Core i5 7200U,1920,1080,2073600
673,Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD Radeon R2 Graphics,Windows,10,2.2kg,349,1366x768,No Touchscreen,4,True,False,False,128,0,0,128,673,AMD,2.2,E2-9000,E-Series,1366,768,1049088
674,HP,Pavilion X360,2 in 1 Convertible,14.0,Nvidia GeForce 940MX,Windows,10,1.63kg,699,1920x1080,Touchscreen,4,True,False,False,128,0,0,128,674,Intel,2.4,,Core i3 7100U,1920,1080,2073600
675,MSI,GP62 7RDX,Gaming,15.6,Nvidia GeForce GTX 1050,Windows,10,2.4kg,1294,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,675,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
676,Asus,Zenbook 3,Ultrabook,14.0,Intel HD Graphics 620,Windows,10,1.1kg,1135,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,676,Intel,2.5,,Core i5 7200U,1920,1080,2073600
677,HP,Chromebook X360,2 in 1 Convertible,11.6,Intel HD Graphics 500,Chrome OS,,1.4kg,495,1366x768,Touchscreen,8,True,False,False,64,0,0,64,677,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
678,LG,Gram 15Z975,Ultrabook,15.6,Intel HD Graphics 620,Windows,10,1.09kg,2299,1920x1080,No Touchscreen,8,True,False,False,512,0,0,512,678,Intel,1.8,,Core i7 8550U,1920,1080,2073600
679,Acer,Aspire VX5-591G,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1299,1920x1080,No Touchscreen,16,True,False,False,256,0,0,256,679,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
680,MSI,GV62M 7RD,Gaming,15.6,Nvidia GeForce GTX 1050,Windows,10,2.2kg,997,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,680,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
681,Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,15.6,Intel HD Graphics 500,Windows,10,1.86kg,419,1366x768,No Touchscreen,4,True,False,False,128,0,0,128,681,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
682,Dell,Alienware 15,Gaming,15.6,Nvidia GeForce GTX 1060,Windows,10,3.21kg,2051,1920x1080,No Touchscreen,16,True,True,False,128,1000,0,1128,682,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
683,HP,17-bs000nv I3,Notebook,17.3,AMD Radeon R5 520,Windows,10,2.5kg,699,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,683,Intel,2.0,,Core i3 6006U,1920,1080,2073600
684,Lenovo,Yoga 730,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows,10,1.19kg,1499,1920x1080,Touchscreen,8,True,False,False,512,0,0,512,684,Intel,1.8,,Core i7 8550U,1920,1080,2073600
685,Dell,Alienware 15,Gaming,15.6,Nvidia GeForce GTX 1070,Windows,10,3.49kg,2813,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,685,Intel,2.9,,Core i7 7820HK,1920,1080,2073600
686,HP,250 G6,Notebook,15.6,AMD Radeon 520,Windows,10,1.86kg,612,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,686,Intel,2.5,,Core i5 7200U,1366,768,1049088
687,Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,Windows,10,2.2kg,545,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,687,Intel,2.0,,Core i3 6006U,1366,768,1049088
688,HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,17.3,AMD Radeon R7 M440,Windows,10,2.65kg,569,1920x1080,No Touchscreen,6,False,True,False,0,2000,0,2000,688,AMD,2.4,9600P,A10-Series,1920,1080,2073600
689,Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.6,Intel HD Graphics 510,Windows,10,2.1kg,318,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,689,Intel,1.6,,Celeron Dual Core 3855U,1366,768,1049088
690,Acer,Chromebook 14,Notebook,14.0,Intel HD Graphics 510,Chrome OS,,1.45kg,375,1366x768,No Touchscreen,4,True,False,False,32,0,0,32,690,Intel,1.6,,Celeron Dual Core 3855U,1366,768,1049088
691,Lenovo,IdeaPad 520s-14IKB,Notebook,14.0,Intel HD Graphics 620,Windows,10,1.7kg,699,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,691,Intel,2.5,,Core i5 7200U,1920,1080,2073600
692,HP,ZBook 17,Workstation,17.3,Nvidia Quadro M1200,Windows,10,3.14kg,1907,1920x1080,No Touchscreen,8,False,True,False,0,500,0,500,692,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
693,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Intel HD Graphics 620,Windows,10,1.42kg,2590,2560x1440,Touchscreen,8,True,False,False,256,0,0,256,693,Intel,2.7,,Core i7 7500U,2560,1440,3686400
694,Toshiba,Satellite Pro,Notebook,13.3,Intel HD Graphics 620,Windows,10,1.5kg,973,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,694,Intel,2.5,,Core i5 7200U,1920,1080,2073600
695,Acer,TravelMate B117-M,Netbook,11.6,Intel HD Graphics,Windows,10,1.4kg,269,1366x768,No Touchscreen,4,True,False,False,32,0,0,32,695,Intel,1.6,,Celeron Dual Core N3050,1366,768,1049088
696,Lenovo,Yoga 910-13IKB,2 in 1 Convertible,14.0,Intel HD Graphics 620,Windows,10,1.38kg,1749,1920x1080,Touchscreen,16,True,False,False,512,0,0,512,696,Intel,2.7,,Core i7 7500U,1920,1080,2073600
697,Asus,Chromebook Flip,2 in 1 Convertible,12.5,Intel HD Graphics 515,Chrome OS,,1.2kg,669,1920x1080,Touchscreen,4,True,False,False,64,0,0,64,697,Intel,0.9,,Core M M3-6Y30,1920,1080,2073600
698,Toshiba,Portege Z30T-C-133,Ultrabook,13.3,Intel HD Graphics 520,Windows,10,1.36kg,1877,1920x1080,Touchscreen,16,True,False,False,512,0,0,512,698,Intel,2.5,,Core i7 6500U,1920,1080,2073600
699,HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,AMD Radeon 530,Windows,10,2.1kg,689,1920x1080,No Touchscreen,4,False,True,False,0,500,0,500,699,Intel,2.7,,Core i7 7500U,1920,1080,2073600
700,Dell,Inspiron 5577,Gaming,15.6,Nvidia GeForce GTX 1050,Windows,10,2.56kg,819,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,700,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
701,Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD Radeon 530,Windows,10,2.2kg,399,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,701,AMD,2.9,9420,A9-Series,1920,1080,2073600
702,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,AMD Radeon R7,Windows,10,2.2kg,429,1366x768,No Touchscreen,8,False,True,False,0,1000,0,1000,702,AMD,3.6,9720P,A12-Series,1366,768,1049088
703,Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Intel HD Graphics 620,Windows,10,2.1kg,621,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,703,Intel,2.5,,Core i5 7200U,1920,1080,2073600
704,Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,Intel HD Graphics 520,No OS,,1.90kg,450,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,704,Intel,2.0,,Core i3 6006U,1366,768,1049088
705,Dell,Vostro 5568,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.18kg,795,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,705,Intel,2.5,,Core i5 7200U,1920,1080,2073600
706,Acer,Spin 5,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows,10,1.6kg,999,1920x1080,Touchscreen,8,True,False,False,256,0,0,256,706,Intel,1.6,,Core i5 8250U,1920,1080,2073600
707,Lenovo,ThinkPad P51s,Workstation,15.6,Nvidia Quadro M520M,Windows,7,2.18kg,1855,1920x1080,No Touchscreen,16,True,False,False,512,0,0,512,707,Intel,2.5,,Core i7 6500U,1920,1080,2073600
708,Lenovo,Thinkpad T460p,Notebook,14.0,Intel HD Graphics 520,Windows,10,1.8kg,1191,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,708,Intel,2.3,,Core i5 6300HQ,1920,1080,2073600
709,HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,AMD Radeon 530,Windows,10,2.71kg,655,1920x1080,No Touchscreen,6,False,True,False,0,2000,0,2000,709,AMD,2.5,9620P,A10-Series,1920,1080,2073600
710,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1249,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,710,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
711,Dell,Latitude 5480,Notebook,14.0,Nvidia GeForce 930MX,Linux,,1.64kg,1089,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,711,Intel,2.8,,Core i5 7440HQ,1920,1080,2073600
712,Dell,Vostro 5568,Notebook,15.6,Intel HD Graphics 620,Linux,,1.98kg,726,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,712,Intel,2.5,,Core i5 7200U,1920,1080,2073600
713,Asus,VivoBook E403NA,Notebook,14.0,Intel HD Graphics 500,Windows,10,1.5kg,298,1920x1080,No Touchscreen,4,True,False,False,32,0,0,32,713,Intel,1.1,,Celeron Dual Core N3350,1920,1080,2073600
714,Dell,Latitude 5580,Notebook,15.6,Intel HD Graphics 620,Windows,10,1.93kg,1426,1920x1080,No Touchscreen,16,True,False,False,512,0,0,512,714,Intel,2.6,,Core i5 7300U,1920,1080,2073600
715,Lenovo,Thinkpad E470,Notebook,14.0,Nvidia GeForce 920MX,Windows,10,1.87kg,857,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,715,Intel,2.5,,Core i5 7200U,1920,1080,2073600
716,Dell,Latitude 5580,Notebook,15.6,Intel HD Graphics 620,Windows,10,1.9kg,1179,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,716,Intel,2.6,,Core i5 7300U,1920,1080,2073600
717,Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,AMD Radeon R4,Windows,10,2.19kg,298,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,717,AMD,2.0,7310,A6-Series,1366,768,1049088
718,Mediacom,Smartbook 142,Notebook,14.0,Intel HD Graphics 400,Windows,10,1.4kg,265,1920x1200,No Touchscreen,4,False,True,False,0,32,0,32,718,Intel,1.92,,Atom Z8350,1920,1200,2304000
719,HP,ProBook 470,Notebook,17.3,Nvidia GeForce 930MX,Windows,10,2.63kg,1200,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,719,Intel,2.7,,Core i7 7500U,1920,1080,2073600
720,Lenovo,ThinkPad X1,Ultrabook,14.0,Intel HD Graphics 520,Windows,10,1.17kg,1686,2560x1440,No Touchscreen,8,True,False,False,512,0,0,512,720,Intel,2.5,,Core i7 6500U,2560,1440,3686400
721,HP,Pavilion X360,2 in 1 Convertible,13.3,Intel HD Graphics 620,Windows,10,1.58kg,836,1366x768,Touchscreen,8,True,False,False,256,0,0,256,721,Intel,2.5,,Core i5 7200U,1366,768,1049088
722,Lenovo,ThinkPad T470s,Ultrabook,14.0,Intel HD Graphics 620,Windows,10,1.32kg,1499,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,722,Intel,2.5,,Core i5 7200U,1920,1080,2073600
723,Dell,Alienware 17,Gaming,17.3,Nvidia GeForce GTX 1070,Windows,10,4.36kg,3659,3840x2160,No Touchscreen,32,True,True,False,1000,1000,0,2000,723,Intel,2.8,,Core i7 7700HQ,3840,2160,8294400
724,MSI,GL72M 7REX,Gaming,17.3,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7kg,1348,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,724,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
725,Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,15.6,Intel HD Graphics 620,No OS,,1.9kg,489,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,725,Intel,2.5,,Core i5 7200U,1366,768,1049088
726,Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,Windows,10,2.2kg,719,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,726,Intel,1.6,,Core i5 8250U,1920,1080,2073600
727,Dell,Inspiron 5378,2 in 1 Convertible,13.3,Intel HD Graphics 620,Windows,10,1.71kg,649,1920x1080,Touchscreen,4,False,True,False,0,1000,0,1000,727,Intel,2.4,,Core i3 7100U,1920,1080,2073600
728,Dell,Inspiron 5567,Notebook,15.6,AMD Radeon R7 M445,Linux,,2.32kg,589,1366x768,No Touchscreen,8,False,True,False,0,1000,0,1000,728,Intel,2.5,,Core i5 7200U,1366,768,1049088
729,HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,AMD Radeon 520,Windows,10,2.1kg,489,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,729,AMD,3.0,9420,A9-Series,1920,1080,2073600
730,Acer,Predator 17,Gaming,17.3,Nvidia GeForce GTX 1060,Windows,10,4.2kg,1935,1920x1080,No Touchscreen,16,True,True,False,128,1000,0,1128,730,Intel,2.6,,Core i7 6700HQ,1920,1080,2073600
731,Dell,Inspiron 3567,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.25kg,649,1366x768,No Touchscreen,12,False,True,False,0,1000,0,1000,731,Intel,2.5,,Core i5 7200U,1366,768,1049088
732,HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,AMD Radeon 520,Windows,10,2.1kg,650,1920x1080,No Touchscreen,6,True,True,False,128,1000,0,1128,732,AMD,3.0,A9-9420,A9-Series,1920,1080,2073600
733,Acer,Extensa EX2540-58KR,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.4kg,559,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,733,Intel,2.5,,Core i5 7200U,1366,768,1049088
734,Lenovo,ThinkPad 13,Notebook,13.3,Intel HD Graphics 620,Windows,10,1.44kg,960,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,734,Intel,2.5,,Core i5 7200U,1920,1080,2073600
735,Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,Intel HD Graphics 620,Windows,10,1.85kg,779,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,735,Intel,2.7,,Core i7 7500U,1920,1080,2073600
736,HP,ZBook 15,Workstation,15.6,Nvidia Quadro M2200,Windows,10,2.6kg,2419,1920x1080,No Touchscreen,16,True,False,False,256,0,0,256,736,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
737,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows,10,1.55kg,659,1920x1080,Touchscreen,8,False,True,False,0,1000,0,1000,737,Intel,1.6,,Core i5 8250U,1920,1080,2073600
738,MSI,GS63VR 7RF,Gaming,15.6,Nvidia GeForce GTX 1060,Windows,10,1.8kg,2094,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,738,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
739,Acer,Aspire ES1-572,Notebook,15.6,Intel HD Graphics 520,Windows,10,2.4kg,410,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,739,Intel,2.0,,Core i3 6006U,1366,768,1049088
